# source: https://www.youtube.com/watch?v=bTItSDksk10
# video_id: bTItSDksk10
# fetched: 2026-09-23T12:14:44.770Z
# segments: 1338

[01:17:59] 資料についての概要説明を受けてから内容
[01:18:03] の審査に入りたいと思いますがいかが
[01:18:04] でしょうか?
[01:18:12] それでは決算報告書事業報告書並び付属
[01:18:17] 資料についての概要説明を求めます。
[01:18:20] 施設施設課
[01:18:55] 令和7年度水道事業会計決算書についてご
[01:18:59] 説明申し上げます。決算書の1ページをお
[01:19:03] 開き願います。かこ1の
[01:19:07] 収益的収支、あ、収入及び支出では収入に
[01:19:12] おいて第1巻事業収益の決算額は
[01:19:16] 2億1348万2832円
[01:19:21] 。支出において第1巻事業費用の決算額は
[01:19:26] 1億9546万359円
[01:19:30] であります。2ページをお開き願います。
[01:19:35] かこ2資本的収入及び支出では収入におい
[01:19:40] て第1巻資本的収入の決算額は
[01:19:44] 783万1462円
[01:19:47] 。支出において第1巻資本的支出の決算額
[01:19:53] は8257万9765円
[01:19:56] であります。支出に対して不足する額
[01:20:00] 7474万8303円
[01:20:04] は下段の補填財源明彩書に記載の通り
[01:20:08] 加年度分及び当年度の損益感定流保
[01:20:12] 資金並びに当年度の消費税調整額を財源と
[01:20:17] しております。3ページに移りまして、乗
[01:20:21] 金計算書では令和7年度末資本金残高
[01:20:26] 4億541万3252円
[01:20:29] 。資本蒸余金残高2183万2000円
[01:20:35] 。利益乗金2億977万1868円
[01:20:42] で資本合計は6億8201万7120円
[01:20:48] となっております。
[01:20:52] なお、未処分利益乗金は当年度準利益
[01:20:57] 1577万457円
[01:21:01] を加え、当年度末残高は
[01:21:03] 1億3588万6512円
[01:21:08] であります。次に財務所表についてご説明
[01:21:12] いたします。4ページをお開き願います。
[01:21:18] 令和7年度損益計算書では1営業収益か1
[01:21:24] 給水収益は1億3990万2808円
[01:21:30] でありまして下から4段目の当年度準利益
[01:21:34] は1577万457円
[01:21:38] 。前年度繰り越し
[01:21:42] 前年度繰り越し利益乗金と合わせた当年度
[01:21:46] 未処分利益乗金が
[01:21:48] 1億3508万6512円
[01:21:52] であります。5ページ目をお開き願います
[01:21:55] 。
[01:21:57] 貸借対象表では資産の部では、
[01:22:01] あ、貸借対象表では資産の部、固定資産と
[01:22:05] 流動資産の資産合計が再下の通り
[01:22:09] 36億510万409円
[01:22:13] であります。6ページ負債の部固定負債と
[01:22:18] 流動負債及び繰べ収益を合わせた負債合計
[01:22:23] は29億6808万7289円
[01:22:27] 。資本の部資本金及び乗金を合わせた資本
[01:22:32] 合計が6億8201万727120円
[01:22:37] で負債資本合計は
[01:22:40] 36億510万4409409円
[01:22:45] であります。7ページは水道事業の
[01:22:49] キャッシュフロー計算であります。次に
[01:22:53] 財務所表付属書類であります。8ページ
[01:22:56] から10ページにかけては収益費用明書で
[01:23:01] あります。
[01:23:03] 11ページは固定資産明彩書、12ページ
[01:23:07] は長期借入れ金明書、企業祭載書及び
[01:23:12] 積み立て金計算書であります。積み立て金
[01:23:16] の年度末残高は6889万6356円
[01:23:22] であります。次に事業報告であります。
[01:23:26] 13ページをお開き願います。
[01:23:29] 令和7年度、令和8年3月末の給水個数は
[01:23:34] 3079個で昨年度と比較して43個の
[01:23:38] 増加となっております。また給水人口に
[01:23:42] ついては53人で昨年度と比較して27人
[01:23:46] の減少となっております。年間総配水流は
[01:23:50] 125万9320
[01:23:53] 立方mで年間優秀水量は98万7783
[01:23:59] 立方mとなっており、優秀率は
[01:24:03] 78.44%
[01:24:04] で昨年度と比較して2.10ポイントの件
[01:24:08] となっております。労水調査等の成果に
[01:24:11] より向上的な労水量は少なくなっており、
[01:24:15] 今後も引き続き調査を実施し、安定的な
[01:24:19] 供給に供給に務めてまいります。水道料金
[01:24:24] の収納では特測などの送負や滞能者託の
[01:24:29] 電話連絡訪問による収納に
[01:24:33] 務め悪質滞能者には給水停止を行っており
[01:24:37] ます。収納率は99.447%
[01:24:41] で昨年と比較して0.7%0.07%の源
[01:24:45] となっております。次年度以降におきまし
[01:24:48] ても引き続き経常経費の接び業務の効率化
[01:24:53] を進め、町民の皆様に安全安心で安定した
[01:24:58] 水道水の供給に努めてまいります。
[01:25:01] 以下15ページは議会での期決事項と職員
[01:25:06] 数の現凶は職員の給与17ページは工事の
[01:25:13] 施工状況18ページは委託業務の状況19
[01:25:18] ページは業務
[01:25:20] 20ページは事業収入及び事業費に関する
[01:25:24] 事項21ページは不2体事項として給水
[01:25:29] 装置工事の打ち訳け年年度末給水
[01:25:33] 22ページは費用費用構成費を掲載して
[01:25:37] おります。以上で令和7年度水道事業会計
[01:25:41] 決算書の説明を終わりますがご審議のほど
[01:25:45] よろしくお願い申し上げます。
[01:26:03] え、以上で説明が終わりました。それでは
[01:26:07] これから質疑に入ります。質疑はありませ
[01:26:10] んか?
[01:26:14] ないようですので、これを持って質疑を
[01:26:17] 終わらします。終わります。
[01:26:21] え、それでは本について採決に入りますが、採決に入る前に討論はありませんか?それではこれから認定第
[01:26:39] 2号令和
[01:26:41] 7
[01:26:41] 年度新徳長水道事業会計決算認定について採決いたします。
[01:26:49] 本件についてこれを認定することに賛成の
[01:26:52] 委員の挙を求めます。
[01:26:57] 挙でありますよって本件についてはこれを
[01:27:01] 認定することに決しました。
[01:27:07] 以上持って本委員会に付託されました案件
[01:27:10] 審査は終わりました。
[01:27:13] よって令和7年度新徳長水道事業会計決算
[01:27:18] 特別委員会を閉いたします。
[01:27:23] え、引き続きただ今から令和7年度新徳庁
[01:27:28] 公共下水道事業会計決算特別委員会を開催
[01:27:33] いたし開会いたします。直ちに会議を開き
[01:27:36] ます。
[01:27:38] え、それでは本委員会に付託されました
[01:27:41] 認定第3号令和7年度新得長公共下水道
[01:27:48] 事業会計決算認定について議題といたし
[01:27:52] ます。
[01:27:54] お諮りいたします。
[01:27:57] 本件の内容審査の入る前に本決算書の提出
[01:28:02] 者から決算報告書事業報告書並び付属資料
[01:28:07] についての概要説明を受けてから内容の
[01:28:11] 審査に入りたいと思いますがいかが
[01:28:13] でしょうか?
[01:28:17] え、それでは決算報告書事業報告書並び
[01:28:22] 付属資料についての概要説明を求め
[01:28:27] 施設施設長
[01:28:52] 7年度公共下水移動事業会計決算書につい
[01:28:56] ご説明申し上げます。決算書の1ページを
[01:29:00] お開き願います。
[01:29:03] 括1の収益的収入及び支出では収入におい
[01:29:08] て第1巻事業収益の決算額は
[01:29:12] 2億3978万671円
[01:29:16] 。支出において第1巻事業費用の決算額は
[01:29:21] 2億2393万4256円
[01:29:25] であります。2ページをお開き願います。
[01:29:32] 括に資本的収入及び支出では収入において
[01:29:37] 第1巻資本的収入の決算額は
[01:29:41] 9210万200円
[01:29:43] 。支出において第1巻資本的支出の決算額
[01:29:47] は1億4100万4130円
[01:29:51] であります。支出に対して不足する額
[01:29:54] 4890万3930円
[01:29:57] は下談の補填財源明書に記載の通り過年度
[01:30:02] 分及び年度の損益勘定留保資金並びに当
[01:30:07] 年度の消費税調整額を財源としております
[01:30:10] 。3ページに移りまして、乗金計算書では
[01:30:15] 令和7年度末、資本金残高
[01:30:18] 11億1110万4043円
[01:30:22] 、資本乗金残高0円、利益乗金
[01:30:27] 1398万8379円
[01:30:30] で資本合計は11億2509万242円
[01:30:36] となっております。
[01:30:39] なお、未処分利益徴は当年度準利益
[01:30:44] 813万5415円
[01:30:46] を加え当年度末残高は
[01:30:49] 1398万8379円
[01:30:53] であります。次に財務所表についてご説明
[01:30:57] いたします。4ページをお開き願います。
[01:31:05] 令和7年度の損益計算書では1営業収益か
[01:31:11] 1使用量では571万3239円
[01:31:16] でありまして下から4段目の当年度準利益
[01:31:19] は813万5415円
[01:31:23] 。前年度繰り越し
[01:31:26] 前年度繰り越し利益乗金と合わせた当年度
[01:31:29] 末
[01:31:31] 未分利益乗金が1398万8379円
[01:31:37] であります。5ページを5ページ目をお
[01:31:40] 開き願います。
[01:31:43] 貸借対象表では資産の部固定資産と流動
[01:31:48] 資産の資産合計が再下談の通り
[01:31:51] 27億2199万7129円
[01:31:56] であります。6ページの負債の部固定負債
[01:32:00] 等流動負債及び繰り収益を合わせた負債
[01:32:04] 合計は15億9690万4707円
[01:32:10] 。資本の部資本金及び徴を合わせた資本
[01:32:14] 合計が11億2509万242円
[01:32:19] で負債資本合計は
[01:32:22] 27億2199万7129円
[01:32:26] であります。
[01:32:29] 7ページは下水道事業のキャッシュフロー
[01:32:32] 計算書であります。次に財務諸表付属処理
[01:32:37] についてであります。
[01:32:40] 8ページから10ページにかけては収益
[01:32:43] 費用明書であります。
[01:32:47] 11ページは固定資産明彩書、12ページ
[01:32:52] から13ページは企業祭載書及び積み立て
[01:32:56] 金計算書であります。積み立て金の年度末
[01:33:01] 残高は0円となっております。次に事業
[01:33:05] 報告であります。14ページをお開き願い
[01:33:08] ます。令和7年度、令和8年3月末の処理
[01:33:14] 個数は2534個で昨年度と比較して28
[01:33:19] 個の増加となっております。また処理人口
[01:33:22] については4225人で昨年度と比較して
[01:33:27] 30人減少となっております。年間層お水
[01:33:31] 処理量は56万4879
[01:33:34] 立方mで年間優水量は38万923
[01:33:40] 立mとなっており優は68.90%
[01:33:45] で昨年度と比較して6.35ポイントの源
[01:33:49] となっております。収納率は96%で昨
[01:33:53] 年度と比較して0.22%の源となって
[01:33:57] おります。今後も経営状況の明確を図り、
[01:34:01] より効率的な事業経営と長期的な計画展望
[01:34:05] に立った計画により安定したお水処理に
[01:34:09] 染めてまいります。
[01:34:12] 議15ページは議会での議決事項と職員数
[01:34:16] の研境16ページは職員の給与
[01:34:23] 17ページは工事の施工状況18ページは
[01:34:27] 委託業務の状況
[01:34:30] 19ページは業務20ページは事業収入
[01:34:35] 及び事業費に関する事項
[01:34:39] 21ページは費用構成費を掲載しており
[01:34:42] ます。
[01:34:45] 以上で令和7年度公共下水道事業会計決算
[01:34:49] 書の説明を終わりますがご審議のほど
[01:34:52] よろしくお願い申し上げます。
[01:35:12] え、以上で説明が終わりました。それでは
[01:35:16] これから質疑に入ります。質疑はありませ
[01:35:21] んか?
[01:35:26] え、内容ですのでこれを持って質疑を
[01:35:29] 終わります。
[01:35:31] それでは本件について採決に入りますが採決に入る前に討論はありませんか?それではこれから認定第
[01:35:48] 3号令和7
[01:35:50] 年度新得長公共下水道水道会計決算認定程定について採決をいたします。
[01:35:58] 本件についてこれを認定することに賛成の
[01:36:02] 委員の挙を求めます。
[01:36:07] 拒否全員でありますよって本件については
[01:36:11] これを認定することに決しました。
[01:36:16] え、以上を持って本委員会に不託されまし
[01:36:19] た案件審査を終わり終わりました。
[01:36:24] え、よって、令和
[01:36:25] 7
[01:36:25] 年度新徳長公共下水移道水道会計決算特別委員会を解いたします。
[01:36:33] 修令を行います。
[01:36:36] ご苦労様でした。
