# source: https://www.youtube.com/watch?v=aBHABXJ8-tA
# video_id: aBHABXJ8-tA
# fetched: 2026-09-23T11:57:22.026Z
# segments: 1777

[00:00:45] 行います。
[01:13:37] 通り、ま、どのような準備が必要なのかというような相談に、え、乗っていきたいという風に考えております。以上です。他にありませんか?中村委員。
[01:13:53] はい、お伺いたします。私もあの同じく秋対策事業ということで、ま、色々先ほどもの、ま、お伺いしてた通りですよね。ま、色々と、ま、ホームページを作ったりとか相談会をやられていると思います。
[01:14:06] ま、どのぐらい今新徳腸内で、ま、腸が
[01:14:09] 把握してるというか、そういった形で事業
[01:14:11] でですね、あの、ま、不動産が動いている
[01:14:13] かちょっとお伺いいたします。あともう1
[01:14:15] つ、すいません、もう1つあります。えっ
[01:14:17] と、ですね、あ、ページなかったです。
[01:14:20] えっと、次がですね、ごめんなさい。ええ
[01:14:23] 、50151ページ市収集運搬経費につい
[01:14:28] て、ま、あの、ま、新徳、え、組み取の方
[01:14:31] も多いとは思うんですけれども、現在徳
[01:14:34] 町内でどのぐらい組み取り式があるかと
[01:14:36] いう、ま、それに対して減現象傾向あるか
[01:14:40] お伺いいたしたいと思います。
[01:14:46] 小林課長
[01:14:50] はお答えいたします。
[01:14:53] え、秋屋の対策の、え、進捗状況という
[01:14:56] ことで、え、ま、先ほど桜田大院のご質問
[01:15:01] とに対する答弁とちょっとあの同様になっ
[01:15:05] てくるんですけども、明屋対策の進捗状況
[01:15:08] についてですけども、ま、相談会など様々
[01:15:12] な取り組みによる秋屋など不動産の動きで
[01:15:16] ありますが、え、秋アバンクホームページ
[01:15:19] への秋ア秋地、え、情報として秋地が発見
[01:15:26] 、え、秋
[01:15:28] をホームページに掲載させていただきまし
[01:15:31] た。え、そのうち、え、秋屋4件の売買、
[01:15:36] え、また、え、2件の賃貸につがるなど、
[01:15:40] え、売買や賃貸を希望する方をつなぐ形と
[01:15:46] して一定の効果が出てきているという風に
[01:15:49] 思っておりますので、え、今後も秋ア
[01:15:52] バンクとしての機能を高めていきたいと
[01:15:55] 考えております。以上です。
[01:15:59] あ、すいません。え、信用組み取りの方、
[01:16:04] え、お答えいたします。
[01:16:07] え、今何件ぐらい、え、組み立式の家が
[01:16:11] あるかと、ま、減少傾向にあるかという
[01:16:14] ことですけども、え、市収集につきまして
[01:16:19] 、え、過去5年間で申し上げますと、令和
[01:16:23] 3年度と4年度が290件、え、令和5
[01:16:30] 年度と令和6年度に、293件、え、令和
[01:16:35] 7年度につきましては296
[01:16:37] 件の家を計画的に収集しており、え、件数量経費についてもほぼ横倍の状況ですので、え、検証傾向にはないという風に考えております。以上です。
[01:16:53] [鼻息]
[01:16:54] 中村委員。
[01:16:56] はい。えっと、まずは、え、
[01:16:58] 149ページの秋対策事業です。
[01:17:01] えっと、あの、ま、新徳非常にやはり、ま
[01:17:02] 、ま、不動産もそこそこ動いてそれなりの
[01:17:06] 授業はあるのかなと思います。ただですね
[01:17:07] 、やっぱそうやってホームページだったり
[01:17:09] とか、え、ま、相談会どうしても街の姿勢
[01:17:12] が多くなってしまうかと思います。で、ま
[01:17:15] 、能動的にもっと秋ア対策を行っている
[01:17:19] 市町村としてですね、あの京都市の方で
[01:17:22] ですね、はい。居住者のいない住宅の利用
[01:17:25] を促す非居住住宅利用促進税、また大阪府
[01:17:30] の値矢川市というところでは、ま、流通し
[01:17:32] ていない秋屋に対して売却や賃貸を促す
[01:17:35] ための秋屋流通促進税というのを、ま、ま
[01:17:39] 、設ける、または今後予定しているという
[01:17:42] ところです。ま、これ、あの、税を取るの
[01:17:44] が目的というよりも、あの、きっかけを
[01:17:48] 作るというところですね。なかなかあの、
[01:17:52] え、ま、不動産を売ろうとすると、ま、
[01:17:55] お仏壇だとか先祖来の土地そういった理由
[01:17:57] があって、ま、さらに売却してしまうと
[01:18:00] なんで100万ポッチで売ってしまったん
[01:18:03] だと、ま、親族に言われてしまう。そう
[01:18:04] いったところもあるので、ま、こういった
[01:18:06] 税をかけられ仕方ない理由という形で、
[01:18:09] あの、ま、こういった税を設けている。ま
[01:18:11] 、特に京都市では、え、30年を目標に、
[01:18:16] ま、色々検討しているという、ま、要する
[01:18:18] にそのやるから考えてねというような税度
[01:18:21] を、え、設けようという動きであります。
[01:18:24] ま、こういった形で、ま、新徳もそういっ
[01:18:26] た税の導入を検討してみてはいかが
[01:18:28] でしょうかというところです。えっと、
[01:18:31] あともう少し信尿のことなんですけれども
[01:18:33] 、あの、信尿増えているんですね。
[01:18:36] [鼻息]
[01:18:36] と、ま、こういったところをちょっと、ま、環境的に下水道に、ま、接続できる環境なのかどうかちょっとお伺いたします。小林課長補佐、
[01:18:52] え、お答えいたします。
[01:18:54] え、ちょっといたしましても秋屋活用省例
[01:18:58] 金として、え、リフォームへの補助、また
[01:19:02] 、え、廃解体撤去事業、え、秋ア課道具
[01:19:08] 片付け事業などの補助事業を実施し、え、
[01:19:12] また拡充しながら秋屋の解消に務めてきて
[01:19:16] おります。え、秋についてはちょっと知り
[01:19:20] ませんでしたので、え、大変申し訳あり
[01:19:22] ません。え、中村委員おっしゃる通り、え
[01:19:26] 、秋屋対策のきっかけづりと、え、いう
[01:19:30] ことですけども、ま、税を稼税するという
[01:19:34] ことにつきましては、ま、条例により、え
[01:19:37] 、ま、住民に義務を貸すということになり
[01:19:41] ますので、ま、慎重に、え、判断すること
[01:19:44] がありますの、え、必要がありますので、
[01:19:47] え、現時点では、え、考えておりませんが
[01:19:50] 、秋勢も参考にさせていただき、え、まず
[01:19:56] は、ええ、秋アバンクの充実や庁の補助
[01:20:01] 事業について、え、多市町村の状況や関係
[01:20:06] 機関ともに、え、調査研究を進めていき
[01:20:10] たいという風に、え、考えております。
[01:20:14] え、市収集の
[01:20:18] 件数ですけども、ま、結構な数田が、え、
[01:20:23] とこていうくことですけども、え、担当の
[01:20:26] 方からお答えさせていただきます。以上
[01:20:28] です。
[01:20:33] 生た施設課長。
[01:20:40] え、下水道接続の件について私の方から
[01:20:43] 説明させていただきます。え、市尿収集を
[01:20:46] 行っているところは下水道の処理区域と
[01:20:50] なっておりますので、え、週末処理上など
[01:20:53] の施設がないため、え、下水移動に接続
[01:20:57] することができません。え、公外において
[01:21:00] の推薦化につきましては、個別での対応を
[01:21:03] いただくため、え、推薦化の推進という
[01:21:06] ことで合併処理浄化層設置整備補助金と
[01:21:11] いうのを設けておりまして、え、公外の方
[01:21:13] 、え、釣化層整備する場合にはその工事費
[01:21:17] の一部を助成して、え、推薦化を促して
[01:21:20] いるところであります。
[01:21:21] え、その浄化層の設置が進んでまいりますと、必然的に、え、処理、あの、信尿処理の、え、経費も減少してまいります。以上です。
[01:21:33] よろしいですか?中村委員、
[01:21:38] ありがとうございます。えっと、まず秋屋なんですけども、ちょっと秋屋対策急いだ方がいいかなっていうのは、ま、私の見解としては
[01:21:45] 1
[01:21:45] つありまして、これ観光にもちょっとまたがってしまうので、答弁は、え、不要です。
[01:21:51] えっとですね、あの、ま、インバウンドの
[01:21:52] 流れで、ま、今偽フラノが来て、ま、
[01:21:56] フラノに関しては平均地下が2倍上がって
[01:21:58] 、ま、部分的には、ま、5倍程度上がっ
[01:22:01] てる地域もあるというので、えっと、です
[01:22:04] ね、ま、あの、インバウンドの流れが1つ
[01:22:07] ありまして、ま、まずは最初に欧米系の人
[01:22:10] が、ま、部分的にやってくる、個人的に2
[01:22:14] 段階目がそれをに目をつけた旅行で会社が
[01:22:17] 、ま、商品を増成し始める。で、ま、第3
[01:22:20] 段階目としてやっぱりそのメディアがそう
[01:22:22] いったものを取り上げていく。で、第4
[01:22:24] 段階、あの、ま、大手、え、ま、外、え、
[01:22:29] 外し系が入ってきて、ま、一気に旅行者が
[01:22:32] 増加するという流れがありまして、えっと
[01:22:35] 、ですね、あの、フラノ市でですね、あの
[01:22:37] 、そういった形で、ま、要する第4段階目
[01:22:41] でその一気に外しが土地の買収などを始め
[01:22:44] た時にですね、ま、要するに今まで
[01:22:46] なかなか手をつけられなかったものに対し
[01:22:49] て今までよりも高い金額での取引で、ま、
[01:22:53] え、納得させそういった手法でですね、
[01:22:56] 高値で売買されまして、ま、一部の町内会
[01:22:58] ではですね、2018年130世帯あった
[01:23:02] 加入世帯が2025年80世帯まで減少し
[01:23:06] ている。で、やっぱり、ま、あの、ま、
[01:23:09] 今後老合なんかを考えた時にやっぱりお金
[01:23:13] があった方がいいよね。そういった形で、
[01:23:15] ま、買収を進めていくっていうのが、あの
[01:23:17] 、チェンス、ま、研究調査で出てきている
[01:23:19] というところで、ま、新徳も、え、今後
[01:23:22] その可能性があるのではないかというので
[01:23:24] 、あの、まずその第1段階、旅行会社第1
[01:23:28] 段階で、ま、部分的に欧米系の旅行者が来
[01:23:31] ているというところなんですけども、
[01:23:33] こないだ新聞で、ま、アロの恩党で、ま、
[01:23:37] 特に野英場では外国人が1/4、そのうち
[01:23:41] ヨーロッパ県が6割、ま、あれですね。
[01:23:43] そういった形で、ま、アウトドアは楽しん
[01:23:45] でいる。ま、新徳でも早朝のキャンプ場
[01:23:49] なんかではちょこちょこと外国の自転車で
[01:23:52] 移動されてる方なんかも見えています。な
[01:23:54] のでもう既でに第1段階は始まってるか
[01:23:56] なっていうところで、またあのこな間だ
[01:23:59] 行われた観光協会のワークショップ、ま、
[01:24:02] ファシリテーターとして、ま、かなり
[01:24:04] インバウンドに強い旅行会社さん、または
[01:24:07] それで、え、クールJAャパンとかそう
[01:24:08] いったものに携わっている方いらっしゃい
[01:24:11] まして、ま、大切というところで消費品
[01:24:15] 増成始めているのかなっていうところで、
[01:24:18] ま、一度、ま、え、インバウンドは入って
[01:24:20] しまいますと手がつけられない状況になり
[01:24:22] ますので、ま
[01:24:24] まずはしっかりと新徳で、え、土地を、ま
[01:24:28] 、確保する。そして、ま、外し系が入って
[01:24:31] きてしまいますと、地下が上昇して若い人
[01:24:33] たちが土地を変えないとかそういった状況
[01:24:35] が起こり得ますので、その前段階として、
[01:24:38] ま、新徳で起業したい人などに、え、土地
[01:24:42] が受け渡せるような、ま、そういった
[01:24:44] プラン、プランというかシステムを
[01:24:45] しっかり構築していった方がいいかなとは
[01:24:48] 思います。えっと、答弁は不要です。
[01:24:50] よろしくお願いします。と、信用に関して
[01:24:52] も大丈夫です。ありがとうございます。
[01:24:56] 他にありませんか?
[01:25:01] なければ終わら衛生費並びに労働費を全般終わらせていただきます。え、ここで随時休憩いたし、あ、残次休憩いたします。
[01:25:13] え、委員長を岡村副委員長に交代たします。
[01:25:56] ちょっと触らないで。うん。
[01:26:00] はい。はい。
[01:26:02] え、休憩時再開いたします。はい。それでは、え、次に進みます。
[01:26:13] 160ページから176ページまでの第6
[01:26:17] 巻農林水産業費全般についてご発言ください。初山委員。
[01:26:28] はい。えっと
[01:26:30] 171
[01:26:32] ページから172
[01:26:34] ページの関係でお伺いしたいと思います。
[01:26:39] え、まずは、え、多面的、え、機能支払い
[01:26:43] 交付金事業負担金の関係で、え、お伺いを
[01:26:48] いたします。あの、決算参考資料でも、え
[01:26:52] 、書いてあるように免許排水路、え、歯科
[01:26:55] 侵入防止策等ということで、ま、協議会に
[01:27:00] 、え、負担金を支出してると思うんですが
[01:27:04] 、えっとそれぞれ、え、草刈りにいくら、
[01:27:09] え、歯作にいくら、あと、えっと、役場は
[01:27:13] その事務局にどういう風な立場で入って
[01:27:16] いるのか、え、教えていただきたいと思い
[01:27:19] ます。東川農林課長。
[01:27:24] え、初山委員の質問にお答えいたします。え、多面的、え、機能支払い交付金のですね、事業実績ですけれども、え、
[01:27:33] 3050万7000
[01:27:35] 円という風になっているところであります。
[01:27:39] え、そのうちのですね、打ち訳という
[01:27:42] ところなんですが、えっと、ま、ざっくり
[01:27:45] なんですが、大体地下作関係で1000、
[01:27:50] え、ま、13万300円、1300万
[01:27:53] ぐらいですね。あと免許さ借りで、ま、
[01:27:56] 同じく、えっと、1200万
[01:28:00] 、あとその他のですね、えっと、活動費が
[01:28:05] 残りというような風になっております。
[01:28:09] えっと、役場はですね、どういった関係で入ってるのかって言いますけれども、ま、事務局の一任というか、え、支援する立場というか、そういう関係で入っております。以上であります。
[01:28:20] 初山委員。
[01:28:22] はい。え、ありがとうございます。
[01:28:24] えっとですね、これちょっとうんと歯作の
[01:28:28] 関係でちょっともう少し詳しく教えて
[01:28:31] 欲しいんですけども、毎年歯科の関係は春
[01:28:35] に点検業務、え、それに基づいて補修と
[01:28:41] いう風に聞いております。それで近年です
[01:28:45] ね、ま、あの、資材員の単価等、え、人権
[01:28:51] 費の高等などでですね、あの、なかなか、
[01:28:56] あの、全部直せないというお話を聞きまし
[01:28:59] た。あの、これ交付金で国の交付金でやっ
[01:29:02] てるんで、ま、毎年このような金額なのか
[01:29:06] なと思うんですが、ま、今回、えっと、
[01:29:10] 交付金と腸の単否を合わせてっていうこと
[01:29:14] なんで、ま、歯科索がですね、ま、直され
[01:29:17] ない部分があるんであれば、ま、今鹿の
[01:29:21] 被害も大変多くなってるっていう風にも
[01:29:24] 聞いておりますが、この辺将来的にその、
[01:29:29] え、交
[01:29:30] 付金もうちょっと増やして下作の補修にもうちょっと力入れるっていうことはできないんでしょうか?
[01:29:38] 東川農林課長
[01:29:40] はい。え、初山委員の質問にお答えといたします。え、今委員からですね、質問あったようにこの面的、え、支払い事業交付金の決算ですけれども、確か令は、え、
[01:29:52] 6
[01:29:52] 年度と同額という風になってるところであります。
[01:29:55] ま、策の関係で、えっと、年度以降予算を
[01:29:59] 増やせないかというところですけれども、
[01:30:02] えっと、ま、全体の授業のバランス、あと
[01:30:05] 国の補助金の関係等々がありますので、ま
[01:30:08] 、ここですぐに増やしていきますっていう
[01:30:10] ことは言えないかなという風に思っており
[01:30:12] ます。ま、鹿の対策というところで確かに
[01:30:15] あのこの歯作っていうのは確か例平成の
[01:30:19] ですね25年ぐらいに設置したものですの
[01:30:21] で、え、年毎年毎年、え、維持管理、え、
[01:30:25] 点検しながらやってるところですが、確か
[01:30:27] に補修する箇所がですね、増えてきて、ま
[01:30:30] 、全部は、ま、え切れてないところがある
[01:30:32] のかなという風に思っております。
[01:30:34] ま、いずれにしてもですね、え、予算というのは限られておりますので、点検していく中でですね、え、必要なところ、緊急度の高いところを見極めながらですね、対応をしてまいりたいと思います。以上であります。
[01:30:49] 初山委員。
[01:30:51] はい。え、ありがとうございます。
[01:30:54] え、是非ですね、あの、ま、鹿の被害は
[01:30:59] いつでも聞く話なので、まあ、限られた、
[01:31:04] えっと、お金も分かりますので、ま、
[01:31:08] 大きな事業を導入してですね、また
[01:31:10] やり替えるっていうことも方法としては
[01:31:12] あるのかなと思いますんで、よろしく協議
[01:31:15] 会と十分協議をしていただきたいなと思い
[01:31:18] ます。え、2
[01:31:19] 点目。同事業の地元負担金の関係。それと次のページの、え、繰り越しメイク
[01:31:27] 八山委員。
[01:31:27] はい。[笑い]
[01:31:28] あの、2点、今の質問は、あの、ん、
[01:31:33] あ、残いたします。初員、あの、
[01:31:35] 2
[01:31:36] 点目はあの、次に、あの、していただけないです。
[01:31:45] ちょっと待ってな。3
[01:31:46] 点を
[01:31:48] うん。1回に質問してもらって、
[01:31:50] それで1買ったんですけど、
[01:31:52] これやったら今2
[01:31:53] 回目になっちゃう。あ、今何回?
[01:31:54] 3回目か。3
[01:31:55] 回目。3
[01:31:56] 回目になっちゃうんで、これで終わっちゃしまうん。手をげ。
[01:32:02] はい。はい。手を上げるっていうか、
[01:32:04] 1人3回までって決まってるんで
[01:32:07] うん。
[01:32:07] これで終わりってことになっちゃう。失礼しまし。それか。うん。
[01:32:16] いや、最後補。
[01:32:17] あ、はい。わかりました。
[01:32:18] したらその3
[01:32:19] 回目、その最初の質問に対する
[01:32:21] 3
[01:32:21] 回目を聞きますね。はい。え、休憩を時再開いたします。松山委員。
[01:32:29] え、どうもありがとうございます。あ、ま、歯川作の、ま、鹿の問題は、え、最近とこの町でも増えてるということなんで、ま、その辺協議会とよく協議して、え、前向きに進んでいただければなと思います。すいません。ありがとうございます。
[01:32:47] はい。
[01:32:51] 通れないね。はい。
[01:32:54] 他にありませんか?
[01:32:58] 村田委員。
[01:33:01] はい。え、167ページ
[01:33:05] くったり、え、農村改善センターと173
[01:33:11] ページの有害長寿駆除についてご質問
[01:33:15] いたします。
[01:33:18] 67ページのくったり農村改善センターで
[01:33:22] ございますが、え、ポテトサークルさんが
[01:33:26] おそらくうん、毎回掃除してこ行動だとか
[01:33:32] 草刈りとかやってもらっておりますけども
[01:33:35] [ため息]
[01:33:36] うんとポテトサークルさんは一応これが
[01:33:41] ちょっと多くてあのあの施設は
[01:33:46] 村落節施設なんで上に上が屋根の上に
[01:33:50] 上がってあそこの水け場のゴミとか木の歯
[01:33:55] を取らなきゃならない施設でございます。
[01:33:58] それで、え、ポプポテトサークルさんは
[01:34:01] ちょっと高齢化でございますので、誰か
[01:34:05] 何か職員ですか、業者ですか、ちょっと
[01:34:08] そこを毎年点検してくれるのがちょっと
[01:34:13] いいのかなと思うのと、[鼻息]あと
[01:34:16] あそこのセンターはもう立てて30年以上
[01:34:21] 経っております。そこに植を植えており
[01:34:24] ます。して[鼻息]、え、
[01:34:28] 植えておりますので、その上がもう地面に
[01:34:32] 垂れ下がるぐらいの大きさなっております
[01:34:35] ので、我々地域の方も高齢化が進んで脚た
[01:34:39] に乗って木を切って枝を払うって言ったら
[01:34:43] ちょっとまた危ない面がありますのでそれ
[01:34:45] もちょっと[鼻息]してな何とかして
[01:34:47] 欲しいということと、ま、そこら辺の2点
[01:34:51] をお願いしたいのと、あ
[01:34:54] と有害長寿駆除でございますが、例のごとく、例のごと投数をお願いしたいと思います。東川、東川農林課長。
[01:34:59] [鼻息]
[01:35:08] はい。え、はい。村田隊田隊委員の質問にお答えをいたします。
[01:35:09] [咳払い]
[01:35:13] えっと、初めに1点目のですね、あの、
[01:35:17] 農村環境改善センターのですね、維持管理
[01:35:20] の関係でありますけれども、まず1点目の
[01:35:23] ですね、その、えっと、陸屋根、屋根の方
[01:35:28] の確認ということですけれども、多分
[01:35:30] 陸屋根になってるので、あの、落ち場とか
[01:35:32] が溜まって、あの、屋根に密が溜まったり
[01:35:34] とか、そういったことのチェックとか、え
[01:35:36] 、そういうとこのうんと対応かなっていう
[01:35:39] 風に思っております。えっと、その辺に
[01:35:42] ついては一応毎年、ま、職員で確認して
[01:35:45] おりまして、え、最近確認した中では、
[01:35:49] えっと、屋根は非常に綺麗な状態と言い
[01:35:51] ますか、えっと、何も溜まってるような
[01:35:55] 状況でありません。ちょっと、えっと、上
[01:35:58] という話がありましたが、ま、周りのです
[01:36:01] ね、うんと木を含めたそういった全体的な
[01:36:07] ですね、維持管理を含めてですね、その
[01:36:09] できることとできないこととポテト
[01:36:11] サークルさんとですね、また、えっと、
[01:36:13] 教事しながらですね、対応させていただき
[01:36:15] たいと思います。え、次にですね、有害
[01:36:20] 駆除のですね、え、昨年度の実績ですが、
[01:36:24] えっと、江戸が1547等で前年度に比べ
[01:36:29] て487等の像、え、狐が282等で前
[01:36:35] 年度と比べて、え、58等の像。え、
[01:36:39] カラスドバが1001話で全年度と比べて
[01:36:44] 110話の像。え、ひが6等で前年度に
[01:36:48] 比べて3等の像、え、全ての合計が、
[01:36:53] 2836
[01:36:54] 等、2836で、え、前年度と比べて
[01:36:58] 658の像となっております。以上であり
[01:37:01] ます。
[01:37:04] 村田大委員
[01:37:06] はい、ありがとうございます。[鼻息]で
[01:37:08] 、あの、改善センターでございますけども
[01:37:10] 、あの、ポテトさんの方にちょっとお伺い
[01:37:14] すると、いや、もう上がったことないから
[01:37:17] ちょっと心配ですんだよねって言っとった
[01:37:19] んですけど、毎年、ま、職員がいてくれれ
[01:37:22] ばあそこではありがたいと思うのと、あと
[01:37:26] あそこの上球はもう本当に30人以上経っ
[01:37:29] て足り下がっておりまして、10何本が
[01:37:33] 大体それ以上あって、あそこの前の方には
[01:37:36] 、あ屋があるんだけどもあ屋が見えない
[01:37:39] ぐらい足り下がっております。ま、
[01:37:41] いろんな木が生えておりますけども、ある
[01:37:44] 程度やっぱり上ちょっと下から上ちょっと
[01:37:47] 切って見通しの良い、え、環境にして
[01:37:51] 欲しいなというのが要望でございますので
[01:37:53] 是非よろしくお願いいたします。あと、え
[01:37:57] 、長寿室
[01:37:58] が、ま、鹿が1000、1500等以上、
[01:38:03] ま、異常に増えてるなという、ま、10年
[01:38:06] 前から言ったら倍ぐらい増えてるかなと
[01:38:08] いう気がしております。[鼻息]今八山
[01:38:10] 委員も言ったように被害はすごくあります
[01:38:14] 。今被害あって、今
[01:38:17] 鹿の被害ってビートかな、そばかなと思っ
[01:38:19] ても今年うちではすごく食べられており
[01:38:23] ます。の被害もあります。ものすごくあり
[01:38:27] ます。そういう被害が結構鹿がおりまして
[01:38:31] 、あの、電木張っても全部綺麗に貼れる
[01:38:34] わけじゃないから、ヤブの上がってこない
[01:38:37] とこまで張ってるけど、張ってないとこ
[01:38:39] から入ってきてしまうというスタイルで、
[01:38:41] 非常に、ま、難しい問題を抱えております
[01:38:45] 。あと
[01:38:47] 今、あの、うちでは、あの、ま、ここ何年
[01:38:51] も前から言っております。野さが被害が
[01:38:55] あります。野崎もあの今回ちょっとあの
[01:38:58] 春先清水の領の人話したんですけども農家
[01:39:03] からまず取ってくれ取ってくれって被害が
[01:39:06] 来てどんだけ取ったあったらいや50%
[01:39:09] ほど取りましたっていうそれはあの台豆を
[01:39:12] 食べるんですねうさギはだ豆の葉っぱ出る
[01:39:16] 前の青豆を食べるというやるんで今の経営
[01:39:20] 者の若い人らは全く何が食べられたか
[01:39:23] 分からんけどもある程度の年配者は、これ
[01:39:26] が脳だとかなんとかって分かるんだけども
[01:39:28] 、うちにおる冷めていてるうさぎはもう
[01:39:32] 大豆からビートからブロッコリーから何で
[01:39:37] も食べてくれるんですよ。だからね、これ
[01:39:39] はね、ちょっとなんとかこの被害、あと
[01:39:44] 被害のうし作業を対象にならないのかと
[01:39:48] あと今ここ2000万ぐらいの予算立てて
[01:39:51] やってるけどもカラスあたりもう少し補助
[01:39:55] 金出してくれるとかなんかいい方法ないか
[01:39:58] なとかして今春先は新井熊多かった。
[01:40:02] 新井熊結構取れたんですけど、ここお盆前から全く新井グが箱にかからないからだいぶ減ったのかなという気がするんですけども、そこら辺ちょっと脳ぎの方の駆除ちょっとよろしくお願いいたします。
[01:40:18] 東川農林課長委員の質問にお答えいたします。
[01:40:22] えっと、改正センターのですね、時間管理
[01:40:24] 例につき[咳払い]ましては、えっと、
[01:40:26] 先ほどの繰り返しになりますけれども、
[01:40:28] えっと、ポテトサークルさんとですね、え
[01:40:30] 、教一しながらですね、随時対応を進めて
[01:40:32] まいりたいと思います。え、2点目のです
[01:40:36] ね、有害駆除の関係ですけれども、えっと
[01:40:40] 、野さぎの被害についてですけれども、
[01:40:43] えっと、町がですね、毎年実施しており
[01:40:46] ます、え、農業被害で農業被害の調査では
[01:40:50] ですね、まだ報告はないところであります
[01:40:53] 。ただ、あの、生産者の方とですね、発
[01:40:57] する中ではですね、え、複数の方からです
[01:41:00] ね、一部被害が出ていると聞いている
[01:41:03] ところであり、え、ノウさぎによる被害が
[01:41:06] 出ているというところはですね、え、認識
[01:41:09] しているところであります。えっと、野さ
[01:41:12] のですね、え、野さを、え、有害駆除に
[01:41:16] 加えてはという話ですけれども、え、
[01:41:19] 先ほど委員から話もありました通り、えっ
[01:41:22] と、野さの駆除につきましては、えっと、
[01:41:27] 有害駆除に加えている、え、もですね、出
[01:41:30] てきておりますので、その辺の状況も
[01:41:34] 踏まえまして対象とするかどうかについて
[01:41:36] 、えっと、検討してまいりたいと思います
[01:41:38] 。以上であります。
[01:41:43] いいですか?はい。他にありませんか?福原委員。
[01:41:52] はい。え、172
[01:41:54] ページ談の、え、環境整備事業補助金についてお聞きをいたします。
[01:42:00] え、この事業につきましては農村の環境
[01:42:03] 整備ということで、え、大掛かりな補助
[01:42:06] 事業には対象ならないけれども、え、孫の
[01:42:09] 手のように細かいところに、え、手が届く
[01:42:11] という趣旨で、え、創設された事業と聞い
[01:42:15] ております。え、金額については今年も
[01:42:18] 補正でかかるほど、え、
[01:42:21] 申し込みがあるのかなと思いますけども、
[01:42:24] え、この事業2200万についての、え、
[01:42:27] 農業部門あるいは商部門の、え、それぞれ
[01:42:30] 打ち訳けの、え、件数と金額が分かればお
[01:42:34] 願いいたします。
[01:42:39] 東川農林課長。え、福原の質問にお答えを
[01:42:44] いたします。え、孫乗っ手事業、え、環境
[01:42:47] 整備事業のですね、え、実績であります
[01:42:50] けれども、え、全部で昨年15件の実績が
[01:42:54] ありました。え、農業が7件、臨が1件で
[01:42:58] 農輪の金額が1293万8000円
[01:43:02] 。え、商候が6件、観光が1件、え、商候
[01:43:07] 関係が7件で、え、実績金額が
[01:43:11] 956万9000円
[01:43:13] となっております。以上であります。
[01:43:17] 福原委員
[01:43:19] はい。え、この環境整備ですけども、事業やる上で、え、どうしてもやっぱり今の警官保持という観点では、え、外せない事業だと思っております。
[01:43:31] 基本的にはそれぞれ使い終わった方が責任
[01:43:34] を持って、え、片付けをするものだと事業
[01:43:37] 的には思っておりますけども、最近農村部
[01:43:40] でも、え、使い終わって利能した後でその
[01:43:44] まま空いている状況の廃が見受けられます
[01:43:47] 。それらのものにつきましても[鼻息]
[01:43:51] 工事費がかなり上がっております。え、内
[01:43:55] 面積通常は1個単位5ヘクタル程度です
[01:43:58] けども、え、ヘクタルあたり2000万
[01:44:01] 程度、え、あ、1000万程度で、え、
[01:44:06] 取引がされておるところだと思いますけど
[01:44:09] も、配置例えば農家住宅あるいは農業施設
[01:44:12] があると1000万近い金額がかかってる
[01:44:16] というところも最近は聞いております。え
[01:44:19] 、次年度につきましてこの春に気候改革で
[01:44:23] 産業化から農林化と思にそれぞれ分かり
[01:44:26] ました。え、来年度事項もこの事業につい
[01:44:29] ては続けて進めていただきたいと思います
[01:44:33] けども、その辺の、え、窓口については
[01:44:35] 農業予算となりますので、え、事業配分、
[01:44:38] え、それぞれ予算装置をするのか、
[01:44:40] あるいは農業農林化の予算でいくのか、え
[01:44:44] 、その辺も含めてなお事業も継続でお願い
[01:44:47] をできればと思っておりますけども、その
[01:44:50] 辺の考え方について説明をお願いいたし
[01:44:52] ます。東川農林課長
[01:44:55] はい。え、福原委員の質問にお答えいたし
[01:44:58] ます。え、この授業ですね、えっと、令和
[01:45:01] 5年度から令和9年度までの予定事業と
[01:45:04] なっておりますので、えっと、令和9年度
[01:45:07] についても事業は実施の予定という風に
[01:45:09] 考えております。あと予算の考え方なん
[01:45:12] ですけれども、えっと、ま、農業関係は
[01:45:16] 農業関係の予算、商候関係は商関係の予算
[01:45:19] ではないかっていうことかなと思うんです
[01:45:21] が、えっと、ま、基本的にはそうなのかな
[01:45:25] と思うところです。で、ま、この制度です
[01:45:28] ね、導入する時にも確か予算特別委員会か
[01:45:31] なんかで、え、議員さんから委員さんから
[01:45:33] 質問あったと思うんですが、ま、農業関係
[01:45:36] が主なので、あの、費で、えっと、予算
[01:45:39] 措置するっていうような、え、答弁をした
[01:45:42] ことがあると思います。それで、まあ、1
[01:45:45] つの授業でですね、あの、2つの科目から
[01:45:47] 支出するっていうのはなかなかそぐわない
[01:45:50] かなと思います。思います。
[01:45:52] 要は予算の組み方ですので、農業費がいいのか、それとも農業費以外で組むのがいいのかも含めてですね、え、年度の予算に向けて検討したいと思います。以上であります。
[01:46:06] 他にありませんか?中村委員。
[01:46:12] はい。え、169
[01:46:14] ページのですね、映、え、育成牧場の解体工事費用についてです。
[01:46:22] ま、今回の決算で、ま、解体工事費用とし
[01:46:25] て、まあ775万計上されておりまして、
[01:46:29] えっと、今年度の予算でも上映育成牧場
[01:46:32] 解体工事費用として、ま、1262万円
[01:46:36] 、え、計上されておりますが、ま、この
