# source: https://www.youtube.com/watch?v=b4LLwOXfTvM
# video_id: b4LLwOXfTvM
# fetched: 2026-09-23T12:21:14.638Z
# segments: 1580

[00:00:29] 令ます。
[01:23:23] が強く求められておりそれを実現できる
[01:23:26] 制度が自価用旅客運送制度における交通
[01:23:32] 空白地層であると考えております。
[01:23:35] 膨張にお越しの町民の皆様にも分かり
[01:23:38] やすく申し上げますと、この制度は国が
[01:23:42] 定めた公共ライドシェアとも呼べる仕組み
[01:23:44] です。介護認定や障害のある方に利用が
[01:23:48] 限られる、え、福祉優勝運送とは異なり、
[01:23:53] 交通空白地層は元気な、え、一般の元気な
[01:23:56] 高齢者を含め移動に困っている地域住民で
[01:24:00] あれば誰でも利用できるのが大きな特徴
[01:24:02] です。本年7月7日に総務厚生常認委員会
[01:24:07] で、え、実施した福祉事業者との所管事務
[01:24:11] 調査ではこの交通空白地送を町内で唯一に
[01:24:16] なっていただいている事業者への利用が
[01:24:19] 休増している実態が確認できました。しか
[01:24:23] しながら、現行の運賃水準はタクシー料金
[01:24:27] の半額程度にとまっており、車両の維持費
[01:24:30] や燃料費、保険料などを考慮すると経営的
[01:24:34] には極めて厳しい状況にあります。実質的
[01:24:38] には事業者の皆様のボランティア精神に
[01:24:41] よって支えられており、このまま需要が
[01:24:44] 増え続ければ運行体制そのものの維持が
[01:24:48] 困難であるとの声が上がっております。
[01:24:51] こうした中、国は令和6年10月に制度の
[01:24:55] 大幅な、え、規制緩和を行いました。具体
[01:24:59] 的には運賃の目安をこれまでの半額程度
[01:25:02] からタクシー運賃の約8割までの引き上げ
[01:25:06] 可能としたことや話し合いが長引いて導入
[01:25:09] が遅れないよう一定期間提案がなければ
[01:25:13] 合意とみなす見なし合意を導入したこと。
[01:25:16] さらに個人の車や地域の車を簡単な手続き
[01:25:20] で運行に使える持ち込み車両を可能とした
[01:25:24] ことなど地域の移動の足を確保するための
[01:25:27] 柔軟な運用が認められました。私はこの
[01:25:31] 制度改革を絶好の後期と捉え、本庁におい
[01:25:35] て交通空白地輸送の拡充を積極的に進める
[01:25:39] べきだと考えます。
[01:25:42] 運行事業者の事業継続性をしっかりと担保
[01:25:46] しつつ、町民の皆様の利用負担を抑える
[01:25:50] 女性制度への再編を進めるべきだと考え、
[01:25:53] 以下点について町長のお考えをお伺い
[01:25:56] いたします。
[01:25:59] 1番目、交通空白地送の需要が増えている
[01:26:03] 中、町民からも高齢者の移動手段に関する
[01:26:07] 話題が聞こえてきます。新徳庁の福祉対策
[01:26:11] として行政も積極的に推進していくべきだ
[01:26:15] と考えますが、町長はどのように現状を
[01:26:18] 認識されているのかお伺いいたします。2
[01:26:21] 番目、タクシーチケットについて居住地域
[01:26:25] や院頻度等に応じて上限を今よりも上げて
[01:26:31] 柔軟な交付ができるようにならないのかお
[01:26:33] 伺いいたします。3番目、町民が優勝運送
[01:26:38] を、え、使う際、タクシー運賃の半額程度
[01:26:42] で利用できる環境は維持すべきですが、
[01:26:45] 事業者への過度な負担がある現状のままで
[01:26:48] は継続が困難です。福祉優勝運送及びえ
[01:26:54] 交通空白地送を担っていただいている事業
[01:26:57] 者に対し運賃収入が国の目安である
[01:27:02] タクシー運賃の8割程度に達するよう事業
[01:27:05] 者の事業継続性を担保するため町から差額
[01:27:09] 分ま3割程度の補助金をす付するべきだと
[01:27:13] 考えますが町長のお考えをお伺いいたし
[01:27:16] ます。お願いいたします。
[01:27:23] 町長ご答願います。桜田議員のご質問にお答えいたします。
[01:27:37] 1点目の現状認識についてでありますが、
[01:27:40] 高齢者の移動手段についてはソバクルや
[01:27:44] 路線バスなどの公共交通が一定の役割を
[01:27:47] 果たしている一方、定留所までの移動が
[01:27:50] 困難な方がいらっしゃることなど町民の皆
[01:27:53] 様からご意見があることは認識しており
[01:27:55] ます。またタクシーにつきましても車両
[01:27:59] 台数や人員が限られていることから希望
[01:28:02] する時間に利用できない場合や距離によっ
[01:28:04] ては利用者の経済的負担が大きくなると
[01:28:07] いう声があることも承知をしております。
[01:28:10] 町内で実施されている交通空白地送はこう
[01:28:15] した既存の公共交通等だけでは対応が
[01:28:18] 難しい移動を補い、ドアドアに近い移動を
[01:28:22] 可能とするものであり、通印や買い物だけ
[01:28:25] ではなく、通いの場やサロンなどの社会
[01:28:29] 参加を支える上でも有効な手段の1つで
[01:28:32] あると捉えております。なお、利用実績に
[01:28:35] つきましては、令和7年度は運行回数68
[01:28:39] 回、令和8年度は8月末時点で運行回数
[01:28:43] 45回と伺っており、利用が増えている
[01:28:46] ことを認識しているところであります。2
[01:28:50] 点目の福祉交通費額の上限改正についてで
[01:28:54] ありますが、町では高齢者や障害者の日常
[01:28:59] 生活の利便性向上及び生活行動範囲の拡大
[01:29:03] を図るためタクシー運賃の女性を行って
[01:29:06] おります。この女性額は移動距離などを
[01:29:10] 考慮し居住地に設定しているところであり
[01:29:14] ます。通等の個々の利用頻度に応じた女性
[01:29:19] 学の引き上げやは公平性の確保の観点から
[01:29:23] 課題もあり、現時点では制度の見直しは
[01:29:26] 考えておりません。3点目の福祉優勝運送
[01:29:31] 及び交通空白地優勝運送を担う事業者に
[01:29:36] 対する補助でについてでありますが議員ご
[01:29:39] 提案の運賃格差に対する補助は利用者の
[01:29:43] 負担軽減と事業の継続性を両立させる1つ
[01:29:46] の方法と考えますが、現時点では運行事業
[01:29:50] 者から町に対し補助を求める具体的な要望
[01:29:54] はいいておりません。また仮に補助制度を
[01:29:58] 設ける場合には事業者の運行実績や収支
[01:30:02] 状況を確認するとともに既存のバス
[01:30:06] タクシー事業者との競合や公平性なども
[01:30:10] 多格的に考慮する必要があります。従い
[01:30:13] まして現時点で福祉優勝運送及び交通空白
[01:30:18] 地運送を担う事業者に対し運賃差額の補助
[01:30:23] を行う考えはございません。以上です。
[01:30:38] 桜田大議員
[01:30:41] はい。ご答弁をいただきありがとうございました。
[01:30:46] えっと、町としても、ま、既存交通だけで
[01:30:49] は移動が困難な町民がいらっしゃること、
[01:30:52] そして、え、空交通空白地層の需要が、え
[01:30:55] 、休増している現状をしっかり認識されて
[01:30:58] いることが確認できました。ま、その認識
[01:31:02] をですね、あの、一歩進めて分かりやすく
[01:31:04] 質問したいので、えっと、まずはタクシー
[01:31:07] チケットについて、え、再質問したいと
[01:31:10] 思います。で、え、町長は通印頻度等に
[01:31:14] 応じた女性制度の調整について公平性の
[01:31:18] 確保の視点から見直さないと答弁されまし
[01:31:21] た。しかし現在町では、ま、居住地
[01:31:25] すなわち町内会ごとに距離を考慮して
[01:31:28] チケットの女性額や、え、配布枚数に差を
[01:31:30] つけ、え、設けて交付していただいており
[01:31:34] ます。で、市街地から遠い距離にお住まい
[01:31:37] の方にとっては大変ありがたい配慮であり
[01:31:39] 、ま、これこそがですね、単なる、ま、
[01:31:42] 確実的な平等というわけではなくて、え、
[01:31:45] 生活に合わせた、ま、実質的な公平という
[01:31:50] ことが、え、ま、良い例であります。で、
[01:31:53] そういうことであれば、ま、居住値の距離
[01:31:55] だけではなく、通印頻度や外出の、え、
[01:31:59] 必要性についても同じ公平の視点が必要で
[01:32:02] はないでしょうか。寿病等で週に何度も
[01:32:06] 通印せざる負えない方や通常の通印、日常
[01:32:10] 出需品の買い物が頻繁に必要な方など個人
[01:32:14] の移動事情には大きな個人者が個人差が
[01:32:17] あります。一律に女性枚数を増やすのでは
[01:32:21] なく、例えば医師の証明書やケアプラン等
[01:32:25] に基づき、本当に必要な方が所定の上限の
[01:32:29] 範囲内で追加申請できるような柔軟な
[01:32:32] 仕組みを導入することは現在の、え、居住
[01:32:35] 地の考え方の延長線で十分に可能であると
[01:32:39] 考えております。2回目の、ま、質問に
[01:32:42] なりますが、え、個々の生活実態に
[01:32:45] 寄り添った、ま、追加申請制度の、ま、
[01:32:49] 創設について、え、必要かと自分自身は
[01:32:52] 思っておりますが、長々のお考えは、今の
[01:32:55] とこどのようなお考えお伺いいたします。
[01:33:02] 部長。
[01:33:06] はい。え、まずちょっとタクシーチケットの前にですね、広通空白地優勝運送についてなんですけれども、ま、桜田議員の方からおっしゃられ、先ほど、え、説明も運行につきましてはですね、運営協議会の中でしっかりとどういった運行が適切なのかということを競議しています。
[01:33:30] で、私たちの町では年齢制限というものも
[01:33:32] 設けておりまして、そういったところでは
[01:33:34] 、あの、地域ごとにその事情というのは
[01:33:37] 違ってくるというところをまず、え、お
[01:33:39] 知らせしておきたいなという風に思います
[01:33:41] し、あの、
[01:33:44] ま、運行が
[01:33:47] 5割程度の、え、運賃しかもらってないの
[01:33:51] で、なかなか運営が厳しいんだというお話
[01:33:54] でしたけれども、私どもとしても、え、
[01:33:57] いろんな事業者にお話を伺ったところ、
[01:33:59] そういった、ま、事業の継続性がもう
[01:34:01] 難しいんだというような声というのは届い
[01:34:03] てないというのが実態でありまして、あの
[01:34:07] 、やはり事業者におかれましては高い
[01:34:09] 心志しとですね、地域福祉への純粋な使命
[01:34:12] 感、これに基づいてやはり自立的な運行を
[01:34:15] 継続されているという状況というものは
[01:34:17] しっかりとお伝えしておきたいと思います
[01:34:19] 。で、町に対してですね、補助金の創設で
[01:34:22] あったり、金銭的な支援を求めるという
[01:34:24] 事実というものは一切ないというところで
[01:34:27] 、しっかりとここは認識していただきたい
[01:34:29] という風に思います。で、タクシー
[01:34:31] チケットについてなんですけれども、ま、
[01:34:34] あの、
[01:34:39] 通印に応じて
[01:34:42] というのが公平なのかというところですよ
[01:34:45] ね。あの、病気のある方もいればない方も
[01:34:48] いらっしゃるわけで、で、それに対して
[01:34:52] じゃあどういう風に公平にタクシー
[01:34:54] [鼻息]チケットを出したらいいのかと
[01:34:56] いうところは私としてはその決して公平で
[01:34:59] はないのかなっていう風に思います。ま、
[01:35:02] あの、確かにタクシー運賃のそのチケット
[01:35:06] が足りないという方もいらっしゃるのは
[01:35:09] その通りなんですけれども、じゃあそれに
[01:35:11] 応じて、じゃ、通印だけではなくて日常に
[01:35:15] 必要な買い物、この頻度もですね、毎日
[01:35:17] 買い物に出かける方もいれば1週間に1度
[01:35:20] の方もいる。そういったところで、じゃあ
[01:35:22] どういった公平性というものを担保するの
[01:35:25] かというのは制度としてやはりちょっと
[01:35:28] 難しいんではないのかなというのが私の今
[01:35:30] の考えです。で、あの、ま、利用頻度に
[01:35:35] 応じて確かに差し上げたいなっていう
[01:35:38] 気持ちはあるっていうのはもちろんなん
[01:35:40] ですけれども、ただその
[01:35:43] そういった頻度にですね、連動して青天井
[01:35:45] にこう出してしまうというのは福祉として
[01:35:47] 果たしてそれが、え、成り立つんだろう
[01:35:50] かって制度として維持できるんだろうかと
[01:35:52] いう課題もありますので、ま、今
[01:35:56] 出してあげたいっていう気持ちはもちろん
[01:35:58] あるんですけれども、将来的なことを考え
[01:36:00] て、え
[01:36:01] え、ま、制度として成立しないのであれば、やはりそこは現状の制度の中の運用でやっていくのがベストではないのかなという風に考えているのが私の今の認識であります。以上です。
[01:36:17] 桜田議員
[01:36:19] はい、ありがとうございます。
[01:36:22] えっとですね、一応ちょっと補足になるん
[01:36:25] ですけど、えっと僕が、えっと、元々ここ
[01:36:28] に来る前に住んでた、え、場所っていうの
[01:36:30] は95万人住んでる、え、町でして、えっ
[01:36:34] と、ま、そういう町だとですね、あの、ま
[01:36:38] 、移動手段ってあんまり考えたことが実際
[01:36:41] 僕がこう30歳でこっちに来るまでは
[01:36:43] なかった問題でして、実際にですね、あの
[01:36:46] 、移住して住んでみるともう移動手段で
[01:36:49] ほとんど車しかないってっていうのが、ま
[01:36:52] 、現状だと思うんですね。で、えっと、
[01:36:55] やっぱりもう高齢者になってきて、今も、
[01:36:59] え、もう車で移動できない方っていうのは
[01:37:02] 大変こう不便を強いられてる状況が、ま、
[01:37:05] 今後も増えてくると思っています。で、
[01:37:08] えっと、ま、この公平性っていう面に関し
[01:37:11] てなんですけど、ま、上限設定はもちろん
[01:37:14] あの、させていただくんですが、あの、
[01:37:16] 上限内なら、ま、再、え、追加申請して
[01:37:20] いただいて、えっと、交付できるような、
[01:37:23] えっと、もので、ま、そこまでこの財政の
[01:37:27] 負担っていうものに対してこう福祉事業と
[01:37:30] して、ま、そこまで大きな負担にならない
[01:37:32] のではないのかなとは思っております。で
[01:37:34] 、上限祭決めればですね、ま、それが
[01:37:36] 例えば100人、200人、ま、利用され
[01:37:39] たところでですね、ま、大型事業に比べ
[01:37:42] たらその予算的にもこう抑えられるのでは
[01:37:44] ないかなと思いまして、えっと、是非とも
[01:37:47] ですね、この、ま、タクシーチケットの
[01:37:51] 利用拡大っていうものを、えっと、お願い
[01:37:54] したいんですが、ま、このタクシー
[01:37:57] チケットのあり方についてご答弁いただき
[01:37:59] ましたが、ま、どれほどですね、あの、
[01:38:01] 女性制度をあの、整えても、ま、実際に
[01:38:04] 走ってくくださるあの運行事業者様が、え
[01:38:07] 、優勝運送を続けてもらわなければ、ま、
[01:38:09] どうにもなりません。で、先ほど、ま、ご
[01:38:13] 答弁いただいたんですが、ま、そのような
[01:38:16] 、え、補助を求める事業者から町に対し、
[01:38:20] え、補助を求める具体的な要望はいいてい
[01:38:23] ないと、ま、ご答弁されています。ま、
[01:38:25] しかしですね、7月7日に議会が、え、
[01:38:29] 実施した福祉事業者との意見交換会におい
[01:38:32] てもちろん全ての事業者ではありませんが
[01:38:35] 、現状すでに経営的にも人員的にも
[01:38:38] ギリギリであるというお声や、え、この
[01:38:40] まま利用者が増え続ければ運行体制の維持
[01:38:43] が困難になるという現場の切実な声って
[01:38:45] いうものが実際、え、お聞きしています。
[01:38:48] で、え、ま、そこが、ま、ちょっと、え、
[01:38:51] 行政とのギャップになるのかなとは思うん
[01:38:52] ですが、ま、一応ですね、この聞いてる
[01:38:54] 限りだとそんなにこうなんですかね、あの
[01:38:58] 、ま、使命感だったりボランティア精神で
[01:39:02] 、え、運行をしていただいている、え、
[01:39:04] 授業者様には、あの、大変感謝しており
[01:39:06] ます。ま、しかしそれをこうずっとその
[01:39:09] ままでしておくっていうのは、え、実際、
[01:39:13] ま、意見交換会において難しいんではない
[01:39:15] かというお声も頂いてるのは確かでござい
[01:39:18] ます。で、えっと、ま、この要望を持つ
[01:39:22] 姿勢っていうものをですね、改めまして、
[01:39:24] ま、街らが、ま、各事業者さんの、ま、
[01:39:27] 聞いてるとは思うんですけど、各事業者
[01:39:29] さんの、ま、運行実態や収支の負担状況を
[01:39:32] 直接ヒアリングしていただいて、ま、こう
[01:39:35] した事業者との、え、お声や町民の移動
[01:39:38] ニーズが、ま、行政に届きにくい背景って
[01:39:41] いうのがもう1つあると思っていまして、
[01:39:44] ま、それがですね、えっと、役場のあの
[01:39:47] uba割れ体制があるんではないかと思っ
[01:39:49] ております。で、現在ですね、福祉優勝
[01:39:52] 運送は福祉化になっておりまして、え、
[01:39:55] 交通空白地層は地域戦略室と所管が分かれ
[01:39:59] ております。え、同じ高齢者の生活の足を
[01:40:02] 守る課題でありながら、ま、部署が別々で
[01:40:05] あるため、ま、実態な把握とかですね、ま
[01:40:07] 、一体的な対策っていうのが進みにくい
[01:40:10] 構造になっているのではないかと考えて
[01:40:12] おります。今後町民の移動実態や事業者の
[01:40:18] 運行データを一元的に把握し、適切な利用
[01:40:22] や運行、え、運行支援を行うためにも、ま
[01:40:26] 、例えば、え、先ほど町長もおっしゃられ
[01:40:29] ていた、あのDXの推進がありますが、
[01:40:31] このDXを活用したデータ共有とかですね
[01:40:34] 、え、福祉と地域戦略室が、ま、組織的に
[01:40:38] 、え、一体的に取り組む、ま、横割り連帯
[01:40:43] の、え、推進体制を、え、構築すべきだと
[01:40:46] 、え、考えております。ま、事業者への、
[01:40:49] ま、能動的な実態調査と部署の書き値を
[01:40:53] 超えた横割りDXの連携について、え、
[01:40:57] 町長に、え、最後の質問になりますが、お
[01:41:00] 考えをお伺いいたします。
[01:41:06] はい。とりあえず休憩します。
[01:41:10] の認識だってますか?あのとしては
[01:41:14] あの原産との方の中で実際はそういう声が
[01:41:16] あったっていうところでしょうか?私直接
[01:41:20] してないんですけども
[01:41:25] 現
[01:41:30] で入って
[01:41:34] たとしてやっぱ別れているね。
[01:41:39] いうようにね。だからだしても少しそのどうだっていうそういう認識だと思うんだ。
[01:41:47] 金末が足りないからどこ行するか。
[01:41:50] あ、いや、そういう話ではないと思うけど。
[01:41:53] そうすると認識とちょっと違って
[01:41:56] そういう話ですよ。
[01:42:00] 説明の中では
[01:42:03] その
[01:42:10] になるんじゃないかっていう
[01:42:15] のはこの重要が
[01:42:20] 話違い
[01:42:23] ます
[01:42:25] ん
[01:42:27] です。そうです。
[01:42:28] 今後だから要するにこう増えていくっていうことがもうあの事業者にとっては難しいっていう話だったんで質問だとちょっと違う。
[01:42:37] んんん。ごめんなさい。どういうことですか?あ、今の質問は
[01:42:40] まず現状でもう厳しいと現状
[01:42:43] の三角をもらえないと厳しいんだっていうような
[01:42:47] 質問に聞こえたんだけど。
[01:42:50] あ、いや、それ意見交換会の
[01:42:52] 声ってことですよ。
[01:42:54] 利見交換杯の中でその今補助がないと厳しいんだ。厳しいことですか?
[01:43:01] いやいやいやいや。それは補助が欲しいとは言ってないですよ。とできないですよ。
[01:43:12] うん。
[01:43:17] [咳払い]
[01:49:26] え、町長、ご答弁願います。
[01:49:29] はい。え、お時間いただいてすいませんでした。あの、まずその風交通空白地郵送運送と福祉優勝運送の
[01:49:43] 2種類あるんですね。で、今朝桜田議員が
[01:49:46] おっしゃってるのはおそらく交通空白地勝
[01:49:49] 運送の方だと思います。で、ま、運賃が5
[01:49:52] 割程度っていうところなんですけれども、
[01:49:54] これは町の方からそういう風にしなさいと
[01:49:56] 言ってるわけでも何でもなくてですね、
[01:49:59] あの、ま、国の方で運賃収入が国の目安で
[01:50:03] ある、あの、タクシー運賃の8割程度まで
[01:50:06] 達するようにっていうところは制限はして
[01:50:08] おりますけれども、腸の方で5割程度にし
[01:50:11] なさいとかそういったことは一切ありませ
[01:50:13] んので、運賃がもし収入としてもう少し
[01:50:17] 確保したいということであれば、それぞれ
[01:50:19] の事業者さんがそれぞれの弾力性を持って
[01:50:22] おそらく運用できるんではないのかなと
[01:50:23] いう風に思います。で、あの
[01:50:27] タクシー運賃の方なんですけれども、
[01:50:32] ま、上限であったり、上限をある程度設け
[01:50:36] てというところなんですけども、じゃあ
[01:50:38] その上限というのをどういう根拠を持って
[01:50:40] 設定するのかとか、そういったことを
[01:50:42] 考えるとですね、制度設計としてやっぱり
[01:50:44] 成り立たないんではないのかなという風に
[01:50:46] 思ってるのが、え、現状であります。え、
[01:50:49] ま、桜田議員がおっしゃるようにですね、
[01:50:51] 高齢者の方々をはめとしてですね、やはり
[01:50:55] 住み慣れた地域でいつまでも安く気軽に
[01:50:58] 移動したいっていう町民の切実なお気持ち
[01:51:00] というものは私自身も日々お伺いしており
[01:51:03] ますので受け止めております。ま、なんと
[01:51:06] かその思いに答えたいという風に考えるの
[01:51:08] は当然の願いであるのかなという風に考え
[01:51:10] ております。あの、ま、タクシー、
[01:51:14] タクシーであるとかバス会社さんである
[01:51:16] そういったところがカバーできないところ
[01:51:19] をカバーするのがその交通空白地送運送
[01:51:24] ですね。口が回らなくてすいませんなん
[01:51:26] ですけれども。で、ま、これはやはり既存
[01:51:29] の事業者との兼合いというものをやはり
[01:51:33] 考えなければなりませんので、そういった
[01:51:35] ところで、え、基本的にはこの制度として
[01:51:39] は、あの、英理目的ではないっていう風に
[01:51:43] なっていますので、え、まずは英理目的で
[01:51:46] はないというところでバスやタクシー運送
[01:51:48] の、え、事業者さんとは少し考え方が違う
[01:51:52] というところもしっかりと抑えておか
[01:51:54] なければならないのかなという風に思い
[01:51:57] ます。で、やはり、あの、
[01:52:00] ま、
[01:52:02] 私たち行政に言ってることと議員さんに
[01:52:04] 言ってることと事業者が違うんじゃないの
[01:52:07] かっていうところではあるんですけれども
[01:52:09] 、ま、私どもとしても丁寧なヒアリングと
[01:52:12] いうものは今後も続けていきたいなと思い
[01:52:15] ますし、やはり事業者の方がですね、適正
[01:52:19] なルールの中で自立して運行になって
[01:52:21] くださっているという、そういった事業者
[01:52:23] さんの尊厳というものを損うことがない
[01:52:25] ように、え、そしてですですね、長年に
[01:52:27] わって私たちは地域の移動インフラという
[01:52:30] ものを支えてきた既存のバスであったり、
[01:52:32] タクシー運転手、タクシーの事業者さんと
[01:52:35] の、え、兼合いというものをしっかりと
[01:52:37] 守っていくというところを見ていかなけれ
[01:52:40] ばならないかなという風に思っています。
[01:52:42] ま、一度既存の事業者さんが撤退して
[01:52:45] しまえばですね、街全体の移動機能が、え
[01:52:48] 、失われてしまいますので、そういった
[01:52:50] ことにならないように町としてはしっかり
[01:52:53] と丁寧に協議をしていかなければならない
[01:52:56] かなという風に思っております。ま、あの
[01:52:59] 、
[01:53:01] これの移動の足をどう確保していくかって
[01:53:03] いうところは行政としても極めて重要な
[01:53:06] テーマであるという風に認識しております
[01:53:08] ので、ま、今後もですね、ま、縦割で
[01:53:12] なかなかその[鼻息]決め細かいところが
[01:53:16] 進んでないんじゃないのかっていうような
[01:53:18] ところでありますが、確かに、え、縦割り
[01:53:21] というところは残っている、残っていると
[01:53:23] いうか、それぞれ制度が違うものですから
[01:53:26] 、どうしてもそれは建て割に見えてしまう
[01:53:28] かもしれませんが中の方でもしっかりと
[01:53:30] 連携を取って、そして事業者さんとの、え
[01:53:33] 、ヒアリングというものをもう少し丁寧に
[01:53:35] してですね、また議員さんとの混談会で
[01:53:38] そういった声があったというのであれば
[01:53:40] 議員さんとの混談というものも私どもして
[01:53:43] まいりたいと思いますので、しっかりと、
[01:53:45] え、検討進めていきたいなという風に思い
[01:53:47] ます。ま、今後も地域交通、あの、地域の
[01:53:50] 公共交通であったり、高齢者福祉の政策と
[01:53:53] いう中でですね、え、検討を進めてまいり
[01:53:55] たいと思っておりますので、え、答弁とし
[01:53:58] ては以上となります
[01:54:05] 。
[01:54:06] あ、ありがとうございました。ちょっと
[01:54:08] 分かりにくい、あの、質問で大変申し訳
[01:54:11] ございませんでした。あの、一応、ま、
[01:54:14] 制度自体は、あの、ま、ごちゃ混ぜになっ
[01:54:16] てるっていうご指摘だったので、あの、
[01:54:18] 一応ですね、ま、あの、あの、もちろん
[01:54:21] 立付けが違うっていうのは、あの、
[01:54:23] もちろん分かっている上でですね、あの、
[01:54:25] やっぱりですね、あの、高齢者の生活な足
[01:54:28] をどうにかしないしたいっていう観点で
[01:54:31] 考えて、あの、ま、制度的には、あの、
[01:54:33] 別々だかも、あの、別々かもしれないん
[01:54:35] ですけど、基本的には自覚を自価自価用
[01:54:39] 旅客制度における、ま、種類別の話だけな
[01:54:43] ので、それが、ま、介護している方、あの
[01:54:46] 、になるのか、そうじゃないのかっていう
[01:54:49] ぐらいのほとんど差しかないとは思ってて
[01:54:51] 、ま、そこは一食端にしてもいいんじゃ
[01:54:53] ないかなと思った次第でございます。はい
[01:54:56] 。え、ま、今後ともですね、あの、高齢者
[01:54:59] の、え、こうですね、あの、ちゃんと声を
[01:55:02] 向けてですね、あの、しっかりと足問題に
[01:55:05] 、え、取り組んでいっていただきたいと
[01:55:08] 思います。是非ともですね、この、ま、
[01:55:10] 需要が、あの、あ、需要じゃなくてこの、
[01:55:13] え、困ってないという事業者は困ってない
[01:55:16] というお声が、え、あるのでしたら是非
[01:55:18] とも、ま、今後ともあの次回、え、空白地
[01:55:22] 、え、空白地、え、交通空白地送の、え、
[01:55:26] 拡充を進めていただきたいと思いました。
[01:55:28] 以上です。
[01:55:44] 残事休憩します。これで午前の方ありまし
[01:55:48] たが、残りを午後1時から、え、開会し
[01:55:52] たいと思いますので午前のを終了いたし
[01:55:55] ます。
[01:56:31] は
